Date,Close/Last,Volume,Open,High,Low
07/27/2020,$95.79,3501828,$94.64,$95.98,$93.6401
07/24/2020,$95.33,4790446,$95.30,$97.15,$93.30
07/23/2020,$96.67,4239812,$95.51,$97.78,$95.51
07/22/2020,$96.54,4360503,$95.81,$97.41,$95.38
07/21/2020,$96.33,4227530,$95.25,$97.46,$94.73
07/20/2020,$94.00,3560385,$94.80,$95.36,$93.58
07/17/2020,$95.18,2873784,$96.35,$96.53,$95.01
07/16/2020,$96.32,2666018,$96.50,$97.79,$95.67
07/15/2020,$97.36,5405620,$96.66,$97.78,$96.39
07/14/2020,$94.84,4044377,$93.19,$95.22,$92.29
07/13/2020,$93.56,4819699,$94.24,$95.76,$92.78
07/10/2020,$93.23,4400854,$90.32,$93.305,$89.82
07/09/2020,$90.57,4484524,$92.51,$93.21,$89.58
07/08/2020,$92.90,6382098,$91.97,$93.095,$90.71
07/07/2020,$93.01,5564231,$95.44,$95.515,$92.63
07/06/2020,$96.58,4059607,$96.51,$97.90,$95.84
07/02/2020,$94.33,4239747,$96.77,$97.29,$93.85
07/01/2020,$94.05,3301022,$95.25,$96.96,$93.64
06/30/2020,$95.20,4367083,$94.16,$95.60,$93.5656
06/29/2020,$94.52,4962408,$94.44,$95.41,$93.34
06/26/2020,$93.42,10489370,$95.93,$96.30,$92.45
06/25/2020,$97.85,5195380,$94.61,$98.12,$93.76
06/24/2020,$95.48,5958264,$97.65,$98.27,$94.995
06/23/2020,$99.42,4364753,$100.94,$101.6475,$99.245
06/22/2020,$99.44,4799863,$98.00,$100.50,$97.95
06/19/2020,$100.94,7589463,$104.23,$104.23,$99.32
06/18/2020,$102.16,3645733,$102.14,$103.49,$101.27
06/17/2020,$103.96,4408202,$105.67,$106.12,$103.83
06/16/2020,$105.62,6710620,$109.02,$109.06,$102.855
06/15/2020,$103.95,6478926,$100.00,$104.74,$97.62
06/12/2020,$101.68,7251105,$103.21,$103.50,$98.08
06/11/2020,$98.60,8601195,$100.87,$102.99,$98.13
06/10/2020,$106.16,5747397,$110.00,$110.33,$105.96
06/09/2020,$110.46,5517423,$110.08,$111.798,$108.67
06/08/2020,$113.67,6795230,$111.91,$113.71,$110.64
06/05/2020,$109.73,10097630,$114.11,$115.93,$108.07
06/04/2020,$106.54,5841610,$103.47,$107.43,$103.23
06/03/2020,$105.40,7301045,$102.78,$105.87,$101.6313
06/02/2020,$99.07,5433811,$98.60,$100.49,$98.17
06/01/2020,$96.75,4272832,$95.56,$98.07,$94.56
05/29/2020,$95.07,7711888,$95.50,$97.11,$94.66
05/28/2020,$98.06,9271708,$101.54,$102.46,$98.01
05/27/2020,$101.23,11007670,$100.00,$101.69,$96.80
05/26/2020,$94.32,6559362,$93.94,$95.57,$92.89
05/22/2020,$89.33,3734517,$89.71,$89.945,$88.209
05/21/2020,$89.83,6241894,$90.11,$91.43,$89.1246
05/20/2020,$90.73,5218515,$89.18,$91.34,$88.77
05/19/2020,$87.26,4920630,$88.42,$89.84,$86.6101
05/18/2020,$88.41,7787399,$86.72,$89.00,$85.92
05/15/2020,$82.22,6618627,$82.47,$83.39,$81.225
05/14/2020,$83.81,10625120,$76.92,$83.90,$76.00
05/13/2020,$78.03,10681600,$82.00,$82.13,$77.40
05/12/2020,$83.14,5504857,$86.10,$87.26,$83.10
05/11/2020,$85.33,5917627,$87.50,$87.65,$85.30
05/08/2020,$89.50,3917177,$88.50,$89.66,$87.545
05/07/2020,$86.73,4629415,$85.30,$87.37,$84.93
05/06/2020,$84.00,4723373,$87.49,$87.76,$83.86
05/05/2020,$86.74,4410262,$88.00,$88.73,$86.36
05/04/2020,$86.38,4875440,$86.09,$87.37,$85.02
05/01/2020,$88.32,4620175,$88.10,$89.07,$87.16
04/30/2020,$91.25,6553674,$93.75,$94.31,$91.17
04/29/2020,$96.12,9396537,$91.75,$96.39,$90.89
04/28/2020,$88.19,7165866,$87.56,$88.96,$86.21
04/27/2020,$85.06,7785036,$83.47,$85.15,$82.34
04/24/2020,$83.17,9126723,$84.13,$84.78,$81.31
04/23/2020,$82.46,5807217,$83.24,$84.78,$81.71
04/22/2020,$82.54,5133476,$83.60,$83.655,$81.97
04/21/2020,$81.52,7360284,$80.73,$82.455,$79.47
04/20/2020,$84.01,6140419,$84.59,$85.27,$82.69
04/17/2020,$87.39,8268973,$85.32,$87.39,$84.28
04/16/2020,$81.35,7526616,$83.79,$83.94,$80.335
04/15/2020,$83.79,10415570,$83.43,$85.40,$80.68
04/14/2020,$88.39,8703213,$91.46,$92.50,$85.91
04/13/2020,$90.33,5037661,$93.29,$93.42,$87.9429
04/09/2020,$94.82,6904961,$94.59,$97.85,$93.46
04/08/2020,$92.08,6122757,$89.21,$93.00,$88.1218
04/07/2020,$87.58,8693228,$91.43,$93.30,$87.42
04/06/2020,$83.87,11253030,$80.22,$84.25,$78.74
04/03/2020,$73.60,10023090,$76.00,$76.66,$72.61
04/02/2020,$76.66,8338115,$77.06,$79.12,$75.83
04/01/2020,$77.84,8313414,$80.65,$81.31,$77.00
03/31/2020,$85.61,6076864,$89.94,$90.90,$85.07
03/30/2020,$90.27,5564975,$88.51,$91.39,$85.27
03/27/2020,$88.73,7000135,$87.94,$91.97,$85.82
03/26/2020,$93.29,9461911,$92.24,$99.69,$90.84
03/25/2020,$90.17,11046490,$87.61,$96.46,$85.32
03/24/2020,$84.05,10593890,$73.51,$84.77,$71.70
03/23/2020,$68.96,8907637,$72.82,$75.4163,$68.12
03/20/2020,$74.12,12208560,$78.98,$82.44,$72.56
03/19/2020,$77.07,12330400,$72.54,$77.89,$69.79
03/18/2020,$73.75,14359270,$80.02,$81.52,$67.00
03/17/2020,$86.58,10512210,$87.61,$88.94,$83.22
03/16/2020,$85.87,15072430,$82.44,$93.18,$80.37
03/13/2020,$99.60,12680440,$90.38,$100.08,$84.30
03/12/2020,$83.53,12206640,$87.66,$89.61,$81.81
03/11/2020,$95.38,8823339,$100.30,$100.96,$93.87
03/10/2020,$103.30,9793181,$101.93,$103.365,$97.45
03/09/2020,$98.29,12266270,$100.87,$101.44,$96.935
03/06/2020,$108.24,9897802,$105.73,$108.77,$103.79
03/05/2020,$110.94,12060580,$111.62,$112.585,$109.70
03/04/2020,$115.70,7470920,$110.25,$115.79,$109.25
03/03/2020,$108.01,9285025,$115.02,$116.40,$107.00
03/02/2020,$113.87,9851607,$111.11,$113.99,$108.59
02/28/2020,$109.93,11363610,$109.05,$111.03,$107.0005
02/27/2020,$112.81,8279823,$115.90,$117.48,$112.78
02/26/2020,$118.50,5269710,$121.27,$122.43,$118.47
02/25/2020,$120.90,7628112,$127.71,$127.99,$119.9115
02/24/2020,$128.19,6329285,$129.43,$130.96,$127.23
02/21/2020,$134.90,3106406,$136.20,$136.27,$133.89
02/20/2020,$136.58,2541728,$136.41,$138.04,$134.90
02/19/2020,$136.93,1785417,$136.30,$137.42,$136.12
02/18/2020,$135.60,2428250,$135.87,$136.75,$134.94
02/14/2020,$135.87,2360549,$134.71,$136.37,$134.53
02/13/2020,$134.46,3178514,$133.15,$134.67,$133.06
02/12/2020,$133.24,1715434,$133.39,$133.7199,$132.53
02/11/2020,$132.63,1733538,$133.03,$133.65,$132.32
02/10/2020,$132.24,1816474,$131.61,$132.4999,$131.35
02/07/2020,$131.82,2885550,$132.57,$132.75,$131.34
02/06/2020,$133.25,1708611,$134.16,$134.35,$133.11
02/05/2020,$133.60,4084480,$133.43,$133.80,$131.29
02/04/2020,$131.85,2547518,$132.88,$133.34,$131.72
02/03/2020,$131.00,2721912,$130.55,$132.22,$130.45
01/31/2020,$129.87,3522773,$132.17,$132.2526,$129.38
01/30/2020,$133.22,2428584,$130.75,$133.33,$130.44
01/29/2020,$131.68,2518612,$132.48,$133.13,$131.44
01/28/2020,$132.45,3713052,$132.00,$133.87,$131.1377
01/27/2020,$130.64,6432363,$131.15,$131.98,$128.87
01/24/2020,$135.11,8612529,$136.36,$138.13,$133.85
01/23/2020,$131.37,3840990,$131.26,$131.57,$130.1413
01/22/2020,$131.49,2484078,$130.93,$132.27,$130.93
01/21/2020,$130.53,3102769,$131.11,$131.82,$130.39
01/17/2020,$131.52,3659734,$131.45,$131.86,$130.79
01/16/2020,$130.55,2424850,$130.50,$130.925,$129.71
01/15/2020,$129.82,3187196,$128.69,$129.84,$128.45
01/14/2020,$128.80,3836948,$128.62,$130.09,$128.34
